"LemmeID"	"Frequence"	"Token"	"POS"	"Lemme"	"Statut"	"Commentaire"	"ASCF"	"ProposedBy"	"CheckedBy"	"LastUpdate"	"ID"	"Validated"
"32635"	"117390"	"bien"	"ADJ"	"bien"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"2"	"FALSE"
"32637"	"103588"	"nouveau"	"ADJ"	"nouveau"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"3"	"FALSE"
"32638"	"89866"	"Deux"	"ADJ"	"deux"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"4"	"FALSE"
"32639"	"83959"	"grand"	"ADJ"	"grand"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"5"	"FALSE"
"32640"	"68022"	"bon"	"ADJ"	"bon"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"6"	"FALSE"
"32641"	"64178"	"petit"	"ADJ"	"petit"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"7"	"FALSE"
"32642"	"62274"	"persOnne"	"ADJ"	"personne"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"8"	"FALSE"
"32645"	"59480"	"droit"	"ADJ"	"droit"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"9"	"FALSE"
"32646"	"57294"	"social"	"ADJ"	"social"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"10"	"FALSE"
"32647"	"54804"	"politique"	"ADJ"	"politique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"11"	"FALSE"
"32648"	"54248"	"Quelque"	"ADJ"	"quelque"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"12"	"FALSE"
"32649"	"52477"	"français"	"ADJ"	"français"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"13"	"FALSE"
"32650"	"52204"	"certain"	"ADJ"	"certain"			"SUJ:VPinf[de]"	"AB"		"2013-07-09 16:56:54"	"14"	"FALSE"
"32651"	"50735"	"dernier"	"ADJ"	"dernier"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"15"	"FALSE"
"32652"	"48022"	"général"	"ADJ"	"général"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"16"	"FALSE"
"32653"	"45467"	"public"	"ADJ"	"public"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"17"	"FALSE"
"32654"	"45444"	"national"	"ADJ"	"national"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"18"	"FALSE"
"32655"	"44908"	"Avant"	"ADJ"	"avant"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"19"	"FALSE"
"32656"	"41560"	"Chaque"	"ADJ"	"chaque"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"20"	"FALSE"
"32657"	"41194"	"seul"	"ADJ"	"seul"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"21"	"FALSE"
"32658"	"40256"	"professionnel"	"ADJ"	"professionnel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"22"	"FALSE"
"32659"	"39137"	"différent"	"ADJ"	"différent"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"23"	"FALSE"
"32660"	"38066"	"européen"	"ADJ"	"européen"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"24"	"FALSE"
"32661"	"37482"	"Enfant"	"ADJ"	"enfant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"25"	"FALSE"
"32662"	"37136"	"fin"	"ADJ"	"fin"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"26"	"FALSE"
"32663"	"35901"	"moyen"	"ADJ"	"moyen"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"27"	"FALSE"
"32664"	"35843"	"technique"	"ADJ"	"technique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"28"	"FALSE"
"32665"	"34627"	"jeune"	"ADJ"	"jeune"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"29"	"FALSE"
"32666"	"34560"	"tRois"	"ADJ"	"trois"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"30"	"FALSE"
"32667"	"34357"	"Aucun"	"ADJ"	"aucun"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"31"	"FALSE"
"32668"	"33522"	"teL"	"ADJ"	"tel"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"32"	"FALSE"
"32669"	"32204"	"Plusieurs"	"ADJ"	"plusieurs"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"33"	"FALSE"
"32670"	"29370"	"local"	"ADJ"	"local"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"34"	"FALSE"
"32671"	"28872"	"nombreuse"	"ADJ"	"nombreux"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"35"	"FALSE"
"32672"	"28442"	"Forme"	"ADJ"	"forme"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"36"	"FALSE"
"32673"	"28106"	"haut"	"ADJ"	"haut"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"37"	"FALSE"
"32674"	"27710"	"important"	"ADJ"	"important"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"38"	"FALSE"
"32675"	"27595"	"objectif"	"ADJ"	"objectif"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"39"	"FALSE"
"32676"	"27443"	"plan"	"ADJ"	"plan"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"40"	"FALSE"
"32677"	"26935"	"particulier"	"ADJ"	"particulier"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"41"	"FALSE"
"32678"	"26755"	"Membre"	"ADJ"	"membre"	"VN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"42"	"FALSE"
"32679"	"26286"	"international"	"ADJ"	"international"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"43"	"FALSE"
"32680"	"26054"	"beau"	"ADJ"	"beau"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"44"	"FALSE"
"32681"	"25896"	"possible"	"ADJ"	"possible"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"45"	"FALSE"
"32682"	"25856"	"économique"	"ADJ"	"économique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"46"	"FALSE"
"32683"	"25770"	"sujet"	"ADJ"	"sujet"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"47"	"FALSE"
"32684"	"25413"	"pratique"	"ADJ"	"pratique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"48"	"FALSE"
"32685"	"24630"	"fort"	"ADJ"	"fort"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"49"	"FALSE"
"32686"	"24596"	"pendant"	"ADJ"	"pendant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"50"	"FALSE"
"32687"	"24482"	"personnel"	"ADJ"	"personnel"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"51"	"FALSE"
"32688"	"24412"	"présent"	"ADJ"	"présent"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"52"	"FALSE"
"32689"	"24134"	"publique"	"ADJ"	"publique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"53"	"FALSE"
"32690"	"23989"	"Mieux"	"ADJ"	"mieux"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"54"	"FALSE"
"32692"	"22251"	"meilleur"	"ADJ"	"meilleur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"55"	"FALSE"
"32693"	"21896"	"principal"	"ADJ"	"principal"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"56"	"FALSE"
"32694"	"21642"	"ancien"	"ADJ"	"ancien"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"57"	"FALSE"
"32695"	"21053"	"étudiant"	"ADJ"	"étudiant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"58"	"FALSE"
"32696"	"20938"	"nécessaire"	"ADJ"	"nécessaire"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"59"	"FALSE"
"32697"	"20423"	"relatif"	"ADJ"	"relatif"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"60"	"FALSE"
"32698"	"20017"	"simple"	"ADJ"	"simple"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"61"	"FALSE"
"32699"	"19951"	"mal"	"ADJ"	"mal"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"62"	"FALSE"
"32700"	"19564"	"humain"	"ADJ"	"humain"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"63"	"FALSE"
"32701"	"18607"	"propre"	"ADJ"	"propre"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"64"	"FALSE"
"32702"	"18242"	"régional"	"ADJ"	"régional"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"65"	"FALSE"
"32703"	"18187"	"vrai"	"ADJ"	"vrai"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"66"	"FALSE"
"32704"	"18040"	"responsable"	"ADJ"	"responsable"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"67"	"FALSE"
"32705"	"17852"	"financier"	"ADJ"	"financier"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"68"	"FALSE"
"32706"	"17789"	"scientifique"	"ADJ"	"scientifique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"69"	"FALSE"
"32707"	"17683"	"directeur"	"ADJ"	"directeur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"70"	"FALSE"
"32708"	"17356"	"plein"	"ADJ"	"plein"	"VN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"71"	"FALSE"
"32709"	"17002"	"supérieur"	"ADJ"	"supérieur"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"72"	"FALSE"
"32710"	"16865"	"MODE"	"ADJ"	"mode"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"73"	"FALSE"
"32711"	"16730"	"étranger"	"ADJ"	"étranger"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"74"	"FALSE"
"32712"	"16706"	"Suivant"	"ADJ"	"suivant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"75"	"FALSE"
"32713"	"16622"	"informatique"	"ADJ"	"informatique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"76"	"FALSE"
"32714"	"16163"	"long"	"ADJ"	"long"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"77"	"FALSE"
"32715"	"16018"	"mort"	"ADJ"	"mort"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"78"	"FALSE"
"32716"	"15873"	"Second"	"ADJ"	"second"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"79"	"FALSE"
