"absolu"	"absoluité"
"absorptif"	"absorptivité"
"abstractif"	"abstractivité"
"absurde"	"absurdité"
"acceptable"	"acceptabilité"
"accessible"	"accessibilité"
"accidentel"	"accidentalité"
"acerbe"	"acerbité"
"acide"	"acidité"
"acido-alcalin"	"acido-alcalinité"
"acquisitif"	"acquisivité"
"actif"	"acticité"
"actif"	"activité"
"actuel"	"actualité"
"aigu"	"acuité"
"adaptable"	"adaptabilité"
"additif"	"additivité"
"adhésif"	"adhésivité"
"adipeux"	"adiposité"
"admissible"	"admissibilité"
"adultérin"	"adultérinité"
"adverbial"	"adverbialité"
"adverse"	"adversité"
"affable"	"affabilité"
"affamé"	"affaméité"
"affectif"	"affectivité"
"affectueux"	"affectuosité"
"africain"	"africanité"
"agglutinable"	"agglutinabilité"
"agile"	"agilité"
"agrammatical"	"agrammaticalité"
"agressif"	"agressivité"
"agréable"	"agréabilité"
"aigu"	"aiguité"
"alcalin"	"alcalinité"
"algide"	"algidité"
"algébrique"	"algébricité"
"alibile"	"alibilité"
"alimentaire"	"alimentarité"
"alimentatif"	"alimentativité"
"aliénable"	"aliénabilité"
"allodial"	"allodialité"
"altérable"	"altérabilité"
"autre"	"altérité"
"aimable"	"amabilité"
"amical"	"amicalité"
"amissible"	"amissibilité"
"amoral"	"amoralité"
"amovible"	"amovibilité"
"amène"	"aménité"
"analytique"	"analyticité"
"ancestral"	"ancestralité"
"androgyne"	"androgynéité"
"anharmonique"	"anharmonicité"
"animal"	"animalité"
"annal"	"annalité"
"annuel"	"annualité"
"annulable"	"annulabilité"
"anonyme"	"anonymité"
"anormal"	"anormalité"
"antigénique"	"antigénicité"
"antique"	"antiquité"
"antérieur"	"antériorité"
"apocryphe"	"apocryphité"
"apostolique"	"apostolicité"
"applicable"	"applicabilité"
"approbatif"	"approbativité"
"appréciable"	"appréciabilité"
"appréhensif"	"appréhensivité"
"apriori"	"apriorité"
"aqueux"	"aquosité"
"arabe"	"arabité"
"ardu"	"arduité"
"aride"	"aridité"
"aromatique"	"aromaticité"
"artificiel"	"artificialité"
"asociable"	"asociabilité"
"asocial"	"asocialité"
"âpre"	"aspérité"
"assidu"	"assiduité"
"assimilable"	"assimilabilité"
"associatif"	"associativité"
"atemporel"	"atemporalité"
"atomique"	"atomicité"
"atonal"	"atonalité"
"atonique"	"atonicité"
"atroce"	"atrocité"
"attaquable"	"attaquabilité"
"audible"	"audibilité"
"austère"	"austérité"
"authentique"	"authenticité"
"autogène"	"autogénéité"
"automatique"	"automaticité"
"avide"	"avidité"
"banal"	"banalité"
"basique"	"basicité"
"belliqueux"	"bellicosité"
"bestial"	"bestialité"
"bilatéral"	"bilatéralité"
"binaire"	"binarité"
"biodégradable"	"biodégradabilité"
"bipolaire"	"bipolarité"
"bisannuel"	"bisannualité"
"bisexuel"	"bisexualité"
"bitonal"	"bitonalité"
"bleu"	"bleuité"
"brevetable"	"brevetabilité"
"britannique"	"britannicité"
"broyable"	"broyabilité"
"brutal"	"brutalité"
"bref"	"brévité"
"bénin"	"bénignité"
"caduc"	"caducité"
"calculable"	"calculabilité"
"calleux"	"callosité"
"canonique"	"canonicité"
"capillaire"	"capillarité"
"captatif"	"captativité"
"captif"	"captivité"
"casuel"	"casualité"
"catholique"	"catholicité"
"catégorique"	"catégoricité"
"causal"	"causalité"
"caustique"	"causticité"
"caverneux"	"cavernosité"
"central"	"centralité"
"cessible"	"cessibilité"
"charnel"	"charnalité"
"chromatique"	"chromaticité"
"chronique"	"chronicité"
"chétif"	"chétivité"
"circulable"	"circulabilité"
"circulaire"	"circularité"
"civil"	"civilité"
"clandestin"	"clandestinité"
"coagulable"	"coagulabilité"
"coercible"	"coercibilité"
"coercitif"	"coercitivité"
"coessentiel"	"coessentialité"
"cognoscible"	"cognoscibilité"
"collatéral"	"collatéralité"
"collectif"	"collectivité"
"colloïde"	"colloïdité"
"collégial"	"collégialité"
"combatif"	"combativité"
"combustible"	"combustibilité"
"comestible"	"comestibilité"
"commensurable"	"commensurabilité"
"commercial"	"commercialité"
"commode"	"commodité"
"communicable"	"communicabilité"
"commutatif"	"commutativité"
"compact"	"compacité"
"comparable"	"comparabilité"
"compatible"	"compatibilité"
"complexe"	"complexité"
"complice"	"complicité"
"complémentaire"	"complémentarité"
"compossible"	"compossibilité"
"compressible"	"compressibilité"
"compréhensible"	"compréhensibilité"
"compréhensif"	"compréhensivité"
"comptable"	"comptabilité"
"compétitif"	"compétitivité"
"concave"	"concavité"
"concentrique"	"concentricité"
"conceptuel"	"conceptualité"
"condensable"	"condensabilité"
"conductible"	"conductibilité"
"conductif"	"conductivité"
"confidentiel"	"confidentialité"
"conformable"	"conformabilité"
"conforme"	"conformité"
"confortable"	"confortabilité"
"congru"	"congruité"
"congénital"	"congénitalité"
"conique"	"conicité"
"conjugal"	"conjugalité"
"connaturel"	"connaturalité"
"connexe"	"connexité"
"consanguin"	"consanguinité"
"consommable"	"consommabilité"
"constitutionnel"	"constitutionnalité"
"constructible"	"constructibilité"
"constructif"	"constructivité"
"consubstantiel"	"consubstantialité"
"consultable"	"consultabilité"
"contagieux"	"contagiosité"
"contemporain"	"contemporanéité"
"contestable"	"contestabilité"
"continental"	"continentalité"
"continu"	"continuité"
"contractible"	"contractibilité"
"contractile"	"contractilité"
"contrôlable"	"contrôlabilité"
"conventionnel"	"conventionalité"
"conventuel"	"conventualité"
"convertible"	"convertibilité"
"convexe"	"convexité"
"convivial"	"convivialité"
"cordial"	"cordialité"
"coriace"	"coriacité"
"corporel"	"corporalité"
"corrigible"	"corrigibilité"
"corruptible"	"corruptibilité"
"cortical"	"corticalité"
"cosmique"	"cosmicité"
"criminel"	"criminalité"
"cristallin"	"cristallinité"
"critique"	"criticité"
"cru"	"crudité"
"créatif"	"créativité"
"crédible"	"crédibilité"
"crédule"	"crédulité"
"cubique"	"cubicité"
"coupable"	"culpabilité"
"cupide"	"cupidité"
"curable"	"curabilité"
"curieux"	"curiosité"
"cyclique"	"cyclicité"
"cylindrique"	"cylindricité"
"cytotoxique"	"cytotoxicité"
"aveugle"	"cécité"
"célèbre"	"célébrité"
"célère"	"célérité"
"cérébral"	"cérébralité"
"dangereux"	"dangerosité"
"dense"	"densité"
"destructible"	"destructibilité"
"destructif"	"destructivité"
"adroit"	"dextérité"
"diaphane"	"diaphanité"
"diaphane"	"diaphanéité"
"diathermane"	"diathermanéité"
"difforme"	"difformité"
"diffusible"	"diffusibilité"
"digestible"	"digestibilité"
"digne"	"dignité"
"dilatable"	"dilatabilité"
"dimensionnel"	"dimensionnalité"
"directif"	"directivité"
"discontinu"	"discontinuité"
"discursif"	"discursivité"
"disponible"	"disponibilité"
"dissociable"	"dissociabilité"
"dissoluble"	"dissolubilité"
"distributif"	"distributivité"
"divers"	"diversité"
"divin"	"divinité"
"divisible"	"divisibilité"
"docile"	"docilité"
"domanial"	"domanialité"
"domestique"	"domesticité"
"duel"	"dualité"
"ductile"	"ductilité"
"double"	"duplicité"
"durable"	"durabilité"
"débile"	"débilité"
"décimal"	"décimalité"
"déductible"	"déductibilité"
"défectueux"	"défectuosité"
"déformable"	"déformabilité"
"dégressif"	"dégressivité"
"démonial"	"démonialité"
"démontrable"	"démontrabilité"
"dérivable"	"dérivabilité"
"désirable"	"désirabilité"
"déterminable"	"déterminabilité"
"effectivif"	"effectivité"
"effectuel"	"effectualité"
"efficace"	"efficacité"
"elliptique"	"ellipticité"
"empirique"	"empiricité"
"endémique"	"endémicité"
"essentiel"	"essentialité"
"européen"	"européanité"
"excentrique"	"excentricité"
"excitable"	"excitabilité"
"exclusif"	"exclusivité"
"excusable"	"excusabilité"
"exemplaire"	"exemplarité"
"exhaustif"	"exhaustivité"
"exigible"	"exigibilité"
"expansible"	"expansibilité"
"expansif"	"expansivité"
"exploitable"	"exploitabilité"
"explosible"	"explosibilité"
"expressif"	"expressivité"
"exquis"	"exquisité"
"extensible"	"extensibilité"
"extensif"	"extensivité"
"extra-territorial"	"extra-territorialité"
"extrême"	"extrémité"
"extérieur"	"extériorité"
"exécrable"	"exécrabilité"
"fabricable"	"fabricabilité"
"facile"	"facilité"
"factice"	"facticité"
"factuel"	"factualité"
"faillible"	"faillibilité"
"faisable"	"faisabilité"
"falsifiable"	"falsifiabilité"
"familier"	"familiarité"
"fameux"	"famosité"
"fastidieux"	"fastidiosité"
"fastueux"	"fastuosité"
"fatal"	"fatalité"
"fatigable"	"fatigabilité"
"fat"	"fatuité"
"fermentescible"	"fermentescibilité"
"ferrugineux"	"ferruginosité"
"fertile"	"fertilité"
"festif"	"festivité"
"fiable"	"fiabilité"
"fidèle"	"fidélité"
"filable"	"filabilité"
"filial"	"filialité"
"filtrable"	"filtrabilité"
"final"	"finalité"
"fiscal"	"fiscalité"
"fissipare"	"fissiparité"
"fixe"	"fixité"
"flaccide"	"flaccidité"
"flatueux"	"flatuosité"
"flexible"	"flexibilité"
"flexueux"	"flexuosité"
"flottable"	"flottabilité"
"fluide"	"fluidité"
"fonctionnel"	"fonctionnalité"
"fongible"	"fongibilité"
"fongueux"	"fongosité"
"formable"	"formabilité"
"formel"	"formalité"
"fortuit"	"fortuité"
"fossile"	"fossilité"
"fragile"	"fragilité"
"français"	"francité"
"friable"	"friabilité"
"frigide"	"frigidité"
"frileux"	"frilosité"
"frivole"	"frivolité"
"froissable"	"froissabilité"
"frontal"	"frontalité"
"frugal"	"frugalité"
"fugace"	"fugacité"
"fugitif"	"fugitivité"
"fuligineux"	"fuliginosité"
"fusible"	"fusibilité"
"futile"	"futilité"
"fébrile"	"fébrilité"
"fécondable"	"fécondabilité"
"fécond"	"fécondité"
"félin"	"félinité"
"féminin"	"féminité"
"féodal"	"féodalité"
"féroce"	"férocité"
"fétide"	"fétidité"
"gemmipare"	"gemmiparité"
"germain"	"germanité"
"gestuel"	"gestualité"
"gibbeux"	"gibbosité"
"glauque"	"glaucité"
"global"	"globalité"
"gracile"	"gracilité"
"graduel"	"gradualité"
"grammatical"	"grammaticalité"
"granulaire"	"granularité"
"gratuit"	"gratuité"
"gravide"	"gravidité"
"grave"	"gravité"
"grec"	"grécité"
"grégaire"	"grégarité"
"gélif"	"gélivité"
"gémellaire"	"gémellarité"
"jumeau"	"gémellité"
"génial"	"génialité"
"génital"	"génitalité"
"général"	"généralité"
"généreux"	"générosité"
"habile"	"habilité"
"habitable"	"habitabilité"
"hermétique"	"herméticité"
"hilare"	"hilarité"
"historique"	"historicité"
"homogène"	"homogénéité"
"homosexuel"	"homosexualité"
"honorable"	"honorabilité"
"horizontal"	"horizontalité"
"hospitalier"	"hospitalité"
"hostile"	"hostilité"
"humain"	"humanité"
"humide"	"humidité"
"humble"	"humilité"
"hybride"	"hybridité"
"hydraulique"	"hydraulicité"
"hydroélectrique"	"hydroélectricité"
"hygrométrique"	"hygrométricité"
"hygroscopique"	"hygroscopicité"
"hyperactif"	"hyperactivité"
"hypersensible"	"hypersensibilité"
"hyperémotif"	"hyperémotivité"
"hypnotisable"	"hypnotisabilité"
"hédonique"	"hédonicité"
"hémisphérique"	"hémisphéricité"
"héritable"	"héritabilité"
"héroïque"	"héroïcité"
"hérétique"	"héréticité"
"hétérogène"	"hétérogénéité"
"hétérosexuel"	"hétérosexualité"
"idoine"	"idonéité"
"idéal"	"idéalité"
"ignoble"	"ignobilité"
"illicite"	"illicité"
