#ID#	#ENTRY#	#ENTRY_POS#	#PARENT#	#PARENT_POS#	#ENTRY_SEM#	#PARENT_SEM#
1	#absolu#	#ADJ#	#absoluité#	#N#	#physique#	#PROPRIETE#
2	#absorptif#	#ADJ#	#absorptivité#	#N#	#propriété#	#PROPRIETE / MESURE#
3	#abstractif#	#ADJ#	#abstractivité#	#N#	#propriété#	#PROPRIETE#
4	#absurde#	#ADJ#	#absurdité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE / OBJET CONCRET#
5	#acceptable#	#ADJ#	#acceptabilité#	#N#	#propriété#	#PROPRIETE#
6	#accessible#	#ADJ#	#accessibilité#	#N#	#propriété#	#PROPRIETE#
7	#accidentel#	#ADJ#	#accidentalité#	#N#	#propriété#	#PROPRIETE / TAUX#
8	#acerbe#	#ADJ#	#acerbité#	#N#	#évaluatif#	#PROPRIETE#
9	#acide#	#ADJ#	#acidité#	#N#	#physique#	#PROPRIETE / MESURE#
10	#acido-alcalin#	#ADJ#	#acido-alcalinité#	#N#	#propriété#	#PROPRIETE / MESURE#
11	#acquisitif#	#ADJ#	#acquisivité#	#N#	#propriété#	#PROPRIETE#
12	#actif#	#ADJ#	#acticité#	#N#	#physique / attitude#	#MESURE#
13	#actif#	#ADJ#	#activité#	#N#	#physique / attitude#	#PROPRIETE / OCCURRENCE#
14	#actuel#	#ADJ#	#actualité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
15	#aigu#	#ADJ#	#acuité#	#N#	#physique#	#PROPRIETE#
16	#adaptable#	#ADJ#	#adaptabilité#	#N#	#propriété#	#PROPRIETE#
17	#additif#	#ADJ#	#additivité#	#N#	#propriété#	#PROPRIETE#
18	#adhésif#	#ADJ#	#adhésivité#	#N#	#propriété#	#PROPRIETE / MESURE#
19	#adipeux#	#ADJ#	#adiposité#	#N#	#RELATIONNEL#	#PROPRIETE / MESURE#
20	#admissible#	#ADJ#	#admissibilité#	#N#	#propriété#	#PROPRIETE#
21	#adultérin#	#ADJ#	#adultérinité#	#N#	#propriété#	#PROPRIETE#
22	#adverbial#	#ADJ#	#adverbialité#	#N#	#RELATIONNEL#	#RELATION#
23	#adverse#	#ADJ#	#adversité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
24	#affable#	#ADJ#	#affabilité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
25	#affamé#	#ADJ#	#affaméité#	#N#	#physique#	#PROPRIETE#
26	#affectif#	#ADJ#	#affectivité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
27	#affectueux#	#ADJ#	#affectuosité#	#N#	#attitude#	#PROPRIETE / OCCURRENCE#
28	#africain#	#ADJ#	#africanité#	#N#	#ethnique #	#PROPRIETE / APPARTENANCE#
29	#agglutinable#	#ADJ#	#agglutinabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
30	#agile#	#ADJ#	#agilité#	#N#	#physique#	#PROPRIETE / OCCURRENCE#
31	#agrammatical#	#ADJ#	#agrammaticalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / OCCURRENCE#
32	#agressif#	#ADJ#	#agressivité#	#N#	#propriété#	#PROPRIETE / ATTITUDE / OCCURRENCE / MESURE#
33	#agréable#	#ADJ#	#agréabilité#	#N#	#propriété#	#PROPRIETE#
34	#aigu#	#ADJ#	#aiguité#	#N#	#physique#	#PROPRIETE#
35	#alcalin#	#ADJ#	#alcalinité#	#N#	#propriété#	#PROPRIETE / MESURE#
36	#algide#	#ADJ#	#algidité#	#N#	#propriété#	#PROPRIETE / MESURE#
37	#algébrique#	#ADJ#	#algébricité#	#N#	#propriété#	#PROPRIETE#
38	#alibile#	#ADJ#	#alibilité#	#N#	#propriété#	#PROPRIETE#
39	#alimentaire#	#ADJ#	#alimentarité#	#N#	#propriété / RELATIONNEL#	#RELATION#
40	#alimentatif#	#ADJ#	#alimentativité#	#N#	#propriété#	#PROPRIETE#
41	#aliénable#	#ADJ#	#aliénabilité#	#N#	#propriété#	#PROPRIETE#
42	#allodial#	#ADJ#	#allodialité#	#N#	#RELATIONNEL#	#RELATION#
43	#altérable#	#ADJ#	#altérabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
44	#autre#	#ADJ#	#altérité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
45	#aimable#	#ADJ#	#amabilité#	#N#	#attitude#	#PROPRIETE / ATTITUDE / OCCURRENCE#
46	#amical#	#ADJ#	#amicalité#	#N#	#attitude#	#PROPRIETE / ATTITUDE#
47	#amissible#	#ADJ#	#amissibilité#	#N#	#propriété#	#PROPRIETE#
48	#amoral#	#ADJ#	#amoralité#	#N#	#attitude#	#PROPRIETE#
49	#amovible#	#ADJ#	#amovibilité#	#N#	#propriété#	#PROPRIETE#
50	#amène#	#ADJ#	#aménité#	#N#	#attitude#	#PROPRIETE / ATTITUDE#
51	#analytique#	#ADJ#	#analyticité#	#N#	#propriété#	#PROPRIETE#
52	#ancestral#	#ADJ#	#ancestralité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / RELATION#
53	#androgyne#	#ADJ#	#androgynéité#	#N#	#physique#	#PROPRIETE#
54	#anharmonique#	#ADJ#	#anharmonicité#	#N#	#physique#	#MESURE#
55	#animal#	#ADJ#	#animalité#	#N#	#propriété / attitude#	#PROPRIETE / ATTITUDE#
56	#annal#	#ADJ#	#annalité#	#N#	#propriété#	#PROPRIETE#
57	#annuel#	#ADJ#	#annualité#	#N#	#propriété#	#PROPRIETE#
58	#annulable#	#ADJ#	#annulabilité#	#N#	#propriété#	#PROPRIETE#
59	#anonyme#	#ADJ#	#anonymité#	#N#	#propriété#	#PROPRIETE / MERO6#
60	#anormal#	#ADJ#	#anormalité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
61	#antigénique#	#ADJ#	#antigénicité#	#N#	#propriété#	#PROPRIETE / MESURE#
62	#antique#	#ADJ#	#antiquité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE / PERIODE / OBJET CONCRET#
63	#antérieur#	#ADJ#	#antériorité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
64	#apocryphe#	#ADJ#	#apocryphité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
65	#apostolique#	#ADJ#	#apostolicité#	#N#	#propriété#	#PROPRIETE#
66	#applicable#	#ADJ#	#applicabilité#	#N#	#propriété#	#PROPRIETE#
67	#approbatif#	#ADJ#	#approbativité#	#N#	#propriété#	#ATTITUDE#
68	#appréciable#	#ADJ#	#appréciabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
69	#appréhensif#	#ADJ#	#appréhensivité#	#N#	#propriété#	#PROPRIETE#
70	#apriori#	#ADJ#	#apriorité#	#N#	#propriété#	#PROPRIETE#
71	#aqueux#	#ADJ#	#aquosité#	#N#	#RELATIONNEL#	#PROPRIETE / TAUX#
72	#arabe#	#ADJ#	#arabité#	#N#	#ethnique #	#PROPRIETE / APPARTENANCE#
73	#ardu#	#ADJ#	#arduité#	#N#	#évaluatif#	#PROPRIETE#
74	#aride#	#ADJ#	#aridité#	#N#	#physique#	#PROPRIETE / TAUX#
75	#aromatique#	#ADJ#	#aromaticité#	#N#	#propriété#	#PROPRIETE#
76	#artificiel#	#ADJ#	#artificialité#	#N#	#propriété#	#PROPRIETE#
77	#asociable#	#ADJ#	#asociabilité#	#N#	#propriété#	#PROPRIETE#
78	#asocial#	#ADJ#	#asocialité#	#N#	#propriété#	#PROPRIETE / ATTITUDE#
79	#âpre#	#ADJ#	#aspérité#	#N#	#physique / psychologique#	#PROPRIETE / OBJET CONCRET#
80	#assidu#	#ADJ#	#assiduité#	#N#	#attitude#	#PROPRIETE / ATTITUDE#
81	#assimilable#	#ADJ#	#assimilabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
82	#associatif#	#ADJ#	#associativité#	#N#	#propriété#	#PROPRIETE#
83	#atemporel#	#ADJ#	#atemporalité#	#N#	#propriété#	#PROPRIETE / MERO6#
84	#atomique#	#ADJ#	#atomicité#	#N#	#RELATIONNEL#	#TAUX / MERO4#
