"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
5380	"donner"	58607	"-er"	"don"	"TRUE"	3774	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
15234	"donner"	58607	"-er"	"donation"	"TRUE"	0	"manuel"	"AB"	"2013-07-23 18:43:38"	"TRUE"	
5382	"donner"	58607	"-er"	"donne"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
5381	"donner"	58607	"-er"	"donné"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:16"	"TRUE"	
5384	"donner"	58607	"-er"	"donnée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:35"	"TRUE"	
5383	"donner"	58607	"-er"	"donneur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:27"	"TRUE"	
3000045	"trouver"	55319	"-er"	"trouvaille"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 17:10:33"	"TRUE"	
14796	"trouver"	55319	"-er"	"trouveur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:59"	"TRUE"	
10710	"passer"	49913	"-er"	"passade"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:49:23"	"TRUE"	
10708	"passer"	49913	"-er"	"passation"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
10703	"passer"	49913	"-er"	"passe"	"TRUE"	3713	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10702	"passer"	49913	"-er"	"passé"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:45:23"	"TRUE"	
10707	"passer"	49913	"-er"	"passée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
10704	"passer"	49913	"-er"	"passeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:45:35"	"TRUE"	
10706	"passer"	49913	"-er"	"passing"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:48:53"	"TRUE"	"cf. [passing-shot]"
10711	"passer"	49913	"-er"	"passoire"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:49:32"	"TRUE"	
11688	"proposer"	48767	"-er"	"proposeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:52:34"	"TRUE"	
11686	"proposer"	48767	"-er"	"proposition"	"TRUE"	14472	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:51:05"	"TRUE"	
14878	"utiliser"	42204	"-er"	"utilisateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:53:41"	"TRUE"	
14877	"utiliser"	42204	"-er"	"utilisation"	"TRUE"	18476	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
11580	"présenter"	35940	"-er"	"présentateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:54:49"	"TRUE"	
11579	"présenter"	35940	"-er"	"présentation"	"TRUE"	15126	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
11577	"présenter"	35940	"-er"	"présentoir"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:53:52"	"TRUE"	
12657	"rester"	35706	"-er"	"reste"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3545	"créer"	31764	"-er"	"créateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:55:02"	"TRUE"	
3543	"créer"	31764	"-er"	"création"	"FALSE"	24735	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
12765	"réaliser"	30909	"-er"	"réalisateur"	"FALSE"	2674	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:55:15"	"TRUE"	
12764	"réaliser"	30909	"-er"	"réalisation"	"TRUE"	12701	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
3761	"demander"	30384	"-er"	"demande"	"TRUE"	22074	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
3762	"demander"	30384	"-er"	"demandeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:55:30"	"TRUE"	
11397	"porter"	29658	"-er"	"portage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11391	"porter"	29658	"-er"	"porté"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	"ajouter [porter_N]"
11396	"porter"	29658	"-er"	"portée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11395	"porter"	29658	"-er"	"portement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11394	"porter"	29658	"-er"	"porteur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:59:15"	"TRUE"	
11393	"porter"	29658	"-er"	"porteuse"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:58:21"	"TRUE"	
10831	"penser"	29106	"-er"	"pensée"	"FALSE"	6979	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10830	"penser"	29106	"-er"	"penseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:00:01"	"TRUE"	
10669	"parler"	28504	"-er"	"parlage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
10668	"parler"	28504	"-er"	"parlement"	"FALSE"	4897	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10666	"parler"	28504	"-er"	"parler"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:00:27"	"TRUE"	
10667	"parler"	28504	"-er"	"parleur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:00:40"	"TRUE"	
10665	"parler"	28504	"-er"	"parloir"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:00:12"	"TRUE"	
10670	"parler"	28504	"-er"	"parlure"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
854	"assurer"	25694	"-er"	"assurage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
851	"assurer"	25694	"-er"	"assuré"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:00:55"	"TRUE"	
853	"assurer"	25694	"-er"	"assurement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:01:41"	"TRUE"	
852	"assurer"	25694	"-er"	"assureur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:01:05"	"TRUE"	
373	"aimer"	25022	"-er"	"aimé"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:01:51"	"TRUE"	
375	"aimer"	25022	"-er"	"amour"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:31:27"	"TRUE"	
10415	"organiser"	23324	"-er"	"organisateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:02:43"	"TRUE"	
10414	"organiser"	23324	"-er"	"organisation"	"TRUE"	24125	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10413	"organiser"	23324	"-er"	"organiseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:02:26"	"TRUE"	
385	"ajouter"	22889	"-er"	"ajout"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:27:22"	"TRUE"	
3097	"compter"	22013	"-er"	"comptage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3095	"compter"	22013	"-er"	"compte"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3096	"compter"	22013	"-er"	"compteur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:33:09"	"TRUE"	
3098	"compter"	22013	"-er"	"comptoir"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:33:43"	"TRUE"	
3235	"constituer"	21880	"-er"	"constitution"	"TRUE"	6842	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
784	"arriver"	21297	"-er"	"arrivage"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
782	"arriver"	21297	"-er"	"arrivée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:15"	"TRUE"	
5177	"développer"	21258	"-er"	"développé"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:52"	"TRUE"	
5174	"développer"	21258	"-er"	"développement"	"TRUE"	38638	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
5173	"développer"	21258	"-er"	"développeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:25"	"TRUE"	
2696	"choisir"	21195	"-ir"	"choix"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:35:07"	"TRUE"	
11733	"publier"	20575	"-er"	"publication"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:36:02"	"TRUE"	
11732	"publier"	20575	"-er"	"publieur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:35:48"	"TRUE"	"vieux"
12709	"retrouver"	20430	"-er"	"retrouvailles"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:36:21"	"TRUE"	
10329	"obtenir"	20370	"-er"	"obtention"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
14650	"travailler"	20171	"-er"	"travail"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 17:09:25"	"TRUE"	
