"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
"5380"	"donner"	"58607"	"-er"	"don"	"3774"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"5381"	"donner"	"58607"	"-er"	"donné"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:16"	"TRUE"	
"5382"	"donner"	"58607"	"-er"	"donne"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"5383"	"donner"	"58607"	"-er"	"donneur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:27"	"TRUE"	
"5384"	"donner"	"58607"	"-er"	"donnée"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:35"	"TRUE"	
"15234"	"donner"	"58607"	"-er"	"donation"	"3774"	"manuel"	"AB"	"2013-07-23 18:43:38"	"TRUE"	
"14796"	"trouver"	"55319"	"-er"	"trouveur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:44:59"	"TRUE"	
"3000045"	"trouver"	"55319"	"-er"	"trouvaille"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 17:10:33"	"TRUE"	
"10702"	"passer"	"49913"	"-er"	"passé"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:45:23"	"TRUE"	
"10703"	"passer"	"49913"	"-er"	"passe"	"3713"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"10704"	"passer"	"49913"	"-er"	"passeur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:45:35"	"TRUE"	
"10706"	"passer"	"49913"	"-er"	"passing"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:48:53"	"TRUE"	"cf. \"passing-shot\""
"10707"	"passer"	"49913"	"-er"	"passée"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"10708"	"passer"	"49913"	"-er"	"passation"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"10710"	"passer"	"49913"	"-er"	"passade"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:49:23"	"TRUE"	
"10711"	"passer"	"49913"	"-er"	"passoire"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:49:32"	"TRUE"	
"11686"	"proposer"	"48767"	"-er"	"proposition"	"14472"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:51:05"	"TRUE"	
"11688"	"proposer"	"48767"	"-er"	"proposeur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:52:34"	"TRUE"	
"14877"	"utiliser"	"42204"	"-er"	"utilisation"	"18476"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"14878"	"utiliser"	"42204"	"-er"	"utilisateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:53:41"	"TRUE"	
"11577"	"présenter"	"35940"	"-er"	"présentoir"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:53:52"	"TRUE"	
"11579"	"présenter"	"35940"	"-er"	"présentation"	"15126"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"11580"	"présenter"	"35940"	"-er"	"présentateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:54:49"	"TRUE"	
"12657"	"rester"	"35706"	"-er"	"reste"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"3543"	"créer"	"31764"	"-er"	"création"	"24735"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"3545"	"créer"	"31764"	"-er"	"créateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:55:02"	"TRUE"	
